Carbon concentration / (weight%);Silicon concentration / (weight%);Manganese concentration / (weight%);Sulphur concentration / (weight%);Phosphorus concentration / (weight%);Nickel concentration / (weight%);Chromium concentration / (weight%);Molybdenum concentration / (weight%);Vanadium concentration / (weight%);Copper concentration / (weight%);Cobalt concentration / (weight%);Tungsten concentration / (weight%);Oxygen concentration / parts per million by weight;Titanium concentration / parts per million by weight;Nitrogen concentration / parts per million by weight;Aluminium concentration / parts per million by weight;Boron concentration / parts per million by weight;Niobium concentration / parts per million by weight;Tin concentration / parts per million by weight;Arsenic concentration / parts per million by weight;Antimony concentration / parts per million by weight;Current / A;Voltage / V;AC or DC;Electrode positive or negative;Heat input / kJ/mm;Interpass temperature / deg C;Type of weld ;Post weld heat treatment temperature / deg C;Post weld heat treatment time / hours;Yield strength / MPa;Ultimate tensile strength / MPa;Elongation / %;Reduction of Area / %;Charpy temperature / deg C;Charpy impact toughness / J;Hardness / kg/mm2;50 % FATT;Primary ferrite in microstructure / %;Ferrite with second phase / %;Acicular ferrite / %;Martensite / %;Ferrite with carbide aggreagate / %;Weld ID
0.037;0.3;0.65;0.008;0.012;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;392;466;31.9;80.6;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Aaw
0.037;0.3;0.65;0.008;0.012;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-28;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Aawch
0.037;0.3;0.65;0.008;0.012;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;370;456;35.2;80.6;-38;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Aht
0.037;0.31;1.03;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;413;498;31.2;80.6;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Baw
0.037;0.31;1.03;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-48;100;None;None;32;28;40;0;0;Evans-Ni/CMn-1990/1991-0Bawch
0.037;0.31;1.03;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;402;490;31;80.6;-44;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Bht
0.044;0.35;1.43;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;468;551;29.4;78.7;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Caw
0.044;0.35;1.43;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-53;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Cawch
0.044;0.35;1.43;0.007;0.014;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;436;529;31.6;78.8;-58;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Cht
0.045;0.33;1.85;0.007;0.016;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;514;588;28;76.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Daw
0.045;0.33;1.85;0.007;0.016;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-38;100;None;None;13;17;60;0;0;Evans-Ni/CMn-1990/1991-0Dawch
0.045;0.33;1.85;0.007;0.016;0;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;479;576;27.4;76.9;-40;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0Dht
0.039;0.32;0.66;0.006;0.011;0.53;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;411;484;32.6;79.3;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Aaw
0.039;0.32;0.66;0.006;0.011;0.53;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;401;475;34.2;80.6;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Aht
0.041;0.33;1.01;0.006;0.011;0.49;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;464;522;29.6;77.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Baw
0.041;0.33;1.01;0.006;0.011;0.49;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;19;43;38;0;0;Evans-Ni/CMn-1990/1991-0.5Bawmic
0.041;0.33;1.01;0.006;0.011;0.49;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;426;506;31.6;79.7;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Bht
0.051;0.32;1.4;0.007;0.014;0.47;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;509;568;28.6;76.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Caw
0.051;0.32;1.4;0.007;0.014;0.47;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;450;536;28.2;78.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Cht
0.049;0.33;1.85;0.006;0.014;0.51;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;547;618;26;74.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Daw
0.049;0.33;1.85;0.006;0.014;0.51;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;8;24;68;0;0;Evans-Ni/CMn-1990/1991-0.5Dawmic
0.049;0.33;1.85;0.006;0.014;0.51;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;526;612;26.8;72.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-0.5Dht
0.038;0.31;0.63;0.007;0.012;1.09;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;423;497;30.6;78.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Aaw
0.038;0.31;0.63;0.007;0.012;1.09;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-38;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Aawch
0.038;0.31;0.63;0.007;0.012;1.09;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;411;493;33.6;79.7;-40;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Aht
0.043;0.33;1;0.006;0.013;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;475;541;29.6;77.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Baw
0.043;0.33;1;0.006;0.013;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-55;100;None;None;20;42;38;0;0;Evans-Ni/CMn-1990/1991-1Bawch
0.043;0.33;1;0.006;0.013;1.1;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;443;521;31.8;77.8;-51;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Bht
0.049;0.35;1.37;0.007;0.013;1.06;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;498;569;28.4;78.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Caw
0.049;0.35;1.37;0.007;0.013;1.06;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-58;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Cawch
0.049;0.35;1.37;0.007;0.013;1.06;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;470;557;30.2;76;-20;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Cht
0.053;0.35;1.83;0.007;0.012;1.06;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;566;641;26.4;76;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Daw
0.053;0.35;1.83;0.007;0.012;1.06;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-39;100;None;None;6;19;75;0;0;Evans-Ni/CMn-1990/1991-1Dawch
0.053;0.35;1.83;0.007;0.012;1.06;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;521;612;26;74;1;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-1Dht
0.041;0.3;0.62;0.007;0.01;2.38;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;466;538;30.6;77.8;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Aaw
0.041;0.3;0.62;0.007;0.01;2.38;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-50;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Aawch
0.041;0.3;0.62;0.007;0.01;2.38;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;431;518;32.2;76.9;-41;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Aht
0.044;0.31;0.96;0.006;0.013;2.38;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;489;567;30.6;76.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Baw
0.044;0.31;0.96;0.006;0.013;2.38;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-59;100;None;None;16;38;46;0;0;Evans-Ni/CMn-1990/1991-2.25Bawch
0.044;0.31;0.96;0.006;0.013;2.38;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;481;561;29.1;76.9;-44;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Bht
0.049;0.32;1.41;0.007;0.014;2.32;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;567;635;23.6;72.7;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Caw
0.049;0.32;1.41;0.007;0.014;2.32;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-38;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Cawch
0.049;0.32;1.41;0.007;0.014;2.32;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;530;615;26.6;73;-20;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Cht
0.046;0.32;1.81;0.007;0.015;2.33;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;621;684;23.5;73.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Daw
0.046;0.32;1.81;0.007;0.015;2.33;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-30;100;None;None;5;14;81;0;0;Evans-Ni/CMn-1990/1991-2.25Dawch
0.046;0.32;1.81;0.007;0.015;2.33;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;574;665;26.4;70.7;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-2.25Dht
0.037;0.3;0.65;0.009;0.011;3.5;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;479;561;30.4;76.6;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Aaw
0.037;0.3;0.65;0.009;0.011;3.5;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-26;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Aawch
0.037;0.3;0.65;0.009;0.011;3.5;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;482;560;31.4;48.8;-63;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Aht
0.041;0.31;0.98;0.008;0.012;3.46;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;525;605;27.6;76;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Baw
0.041;0.31;0.98;0.008;0.012;3.46;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-48;100;None;None;14;35;51;0;0;Evans-Ni/CMn-1990/1991-3.5Bawch
0.041;0.31;0.98;0.008;0.012;3.46;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;521;599;28.4;74;-38;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Bht
0.048;0.33;1.4;0.007;0.013;3.47;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;621;682;25.4;72.9;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Caw
0.048;0.33;1.4;0.007;0.013;3.47;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-18;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Cawch
0.048;0.33;1.4;0.007;0.013;3.47;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;584;677;26.6;70.8;56;100;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Cht
0.051;0.36;1.79;0.007;0.013;3.42;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;692;753;22.2;69.7;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Daw
0.051;0.36;1.79;0.007;0.013;3.42;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;24;100;None;None;0;33;37;30;0;Evans-Ni/CMn-1990/1991-3.5Dawch
0.051;0.36;1.79;0.007;0.013;3.42;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;170;21;DC;+;1;200;MMA;580;2;662;745;24;67.5;None;None;None;None;None;None;None;None;None;Evans-Ni/CMn-1990/1991-3.5Dht
0.074;0.36;1.51;0.008;0.011;None;None;None;None;0.02;None;None;400;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;0;0;484;560;26;78.8;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990--aw***WELDINGPROCEDURE***EvansWeldingJVol59No3(1980)67
0.074;0.36;1.51;0.008;0.011;None;None;None;None;0.02;None;None;400;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;580;2;471;563;31.2;77;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990--ht
0.075;0.36;1.48;0.007;0.006;None;None;None;None;0.11;None;None;390;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;0;0;502;578;27.6;77;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-0.2aw
0.075;0.36;1.48;0.007;0.006;None;None;None;None;0.11;None;None;390;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;580;2;462;548;29.8;77.9;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-0.2ht
0.074;0.32;1.42;0.008;0.007;None;None;None;None;0.19;None;None;380;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;0;0;488;566;28.2;77;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-0.4aw
0.074;0.32;1.42;0.008;0.007;None;None;None;None;0.19;None;None;380;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;580;2;453;549;31.2;78.8;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-0.4ht
0.076;0.33;1.48;0.007;0.006;None;None;None;None;0.35;None;None;400;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;0;0;504;586;27.6;77;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-0.8aw
0.076;0.33;1.48;0.007;0.006;None;None;None;None;0.35;None;None;400;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;580;2;482;572;28.2;77.9;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-0.8ht
0.068;0.32;1.49;0.006;0.006;None;None;None;None;0.66;None;None;390;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;0;0;513;593;28.6;77;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-1.6aw
0.068;0.32;1.49;0.006;0.006;None;None;None;None;0.66;None;None;390;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;580;2;499;607;28.6;74;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-1.6ht
0.076;0.36;1.49;0.006;0.006;None;None;None;None;1.4;None;None;410;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;0;0;568;647;27.4;73;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-3.2aw
0.076;0.36;1.49;0.006;0.006;None;None;None;None;1.4;None;None;410;40;None;None;None;None;None;None;None;170;21;DC;+;1;150;MMA;580;2;583;673;24.2;73;None;None;None;None;None;None;None;None;None;Es-Souni&-Cu/CMn-1990-3.2ht
0.074;0.29;1.49;0.006;0.013;None;None;None;None;None;None;None;471;5;72;6;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;431;527;29.6;78;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-5/6ht
0.074;0.29;1.49;0.006;0.013;None;None;None;None;None;None;None;471;5;72;6;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-41;28;None;None;None;None;None;None;None;Evans-AlTi-1994-5/6awch1
0.074;0.29;1.49;0.006;0.013;None;None;None;None;None;None;None;471;5;72;6;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-19;100;None;None;None;None;None;None;None;Evans-AlTi-1994-5/6awch2
0.074;0.29;1.49;0.006;0.013;None;None;None;None;None;None;None;471;5;72;6;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;34;57;9;0;0;Evans-AlTi-1994-5/6awmic
0.081;0.29;1.43;0.006;0.013;None;None;None;None;None;None;None;461;5;54;60;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;444;542;27.6;72.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-5/60ht
0.081;0.29;1.43;0.006;0.013;None;None;None;None;None;None;None;461;5;54;60;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-39;28;None;None;None;None;None;None;None;Evans-AlTi-1994-5/60awch1
0.081;0.29;1.43;0.006;0.013;None;None;None;None;None;None;None;461;5;54;60;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-15;100;None;None;None;None;None;None;None;Evans-AlTi-1994-5/60awch2
0.081;0.29;1.43;0.006;0.013;None;None;None;None;None;None;None;461;5;54;60;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;45;46;9;0;0;Evans-AlTi-1994-5/60awmic
0.076;0.34;1.36;0.005;0.011;None;None;None;None;None;None;None;476;5;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;437;527;24.6;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-5/150ht
0.076;0.34;1.36;0.005;0.011;None;None;None;None;None;None;None;476;5;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-58;28;None;None;None;None;None;None;None;Evans-AlTi-1994-5/150ch1
0.076;0.34;1.36;0.005;0.011;None;None;None;None;None;None;None;476;5;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-20;100;None;None;None;None;None;None;None;Evans-AlTi-1994-5/150ch2
0.076;0.34;1.36;0.005;0.011;None;None;None;None;None;None;None;476;5;57;150;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;40;47;13;0;0;Evans-AlTi-1994-5/150mic
0.079;0.39;1.37;0.005;0.011;None;None;None;None;None;None;None;446;5;47;250;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;437;538;25.2;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-5/250ht
0.079;0.39;1.37;0.005;0.011;None;None;None;None;None;None;None;446;5;47;250;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-56;28;None;None;None;None;None;None;None;Evans-AlTi-1994-5/250ch1
0.079;0.39;1.37;0.005;0.011;None;None;None;None;None;None;None;446;5;47;250;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-25;100;None;None;None;None;None;None;None;Evans-AlTi-1994-5/250ch2
0.079;0.39;1.37;0.005;0.011;None;None;None;None;None;None;None;446;5;47;250;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;35;44;21;0;0;Evans-AlTi-1994-5/250mic
0.078;0.44;1.4;0.004;0.011;None;None;None;None;None;None;None;436;5;44;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;469;545;24.4;77;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-5/420ht
0.078;0.44;1.4;0.004;0.011;None;None;None;None;None;None;None;436;5;44;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-62;28;None;None;None;None;None;None;None;Evans-AlTi-1994-5/420ch1
0.078;0.44;1.4;0.004;0.011;None;None;None;None;None;None;None;436;5;44;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-30;100;None;None;None;None;None;None;None;Evans-AlTi-1994-5/420ch2
0.078;0.44;1.4;0.004;0.011;None;None;None;None;None;None;None;436;5;44;420;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;44;38;18;0;0;Evans-AlTi-1994-5/420mic
0.081;0.48;1.42;0.004;0.006;None;None;None;None;None;None;None;444;4;46;660;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;466;551;26.2;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-5/660ht
0.081;0.48;1.42;0.004;0.006;None;None;None;None;None;None;None;444;4;46;660;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-76;28;None;None;None;None;None;None;None;Evans-AlTi-1994-5/660ch1
0.081;0.48;1.42;0.004;0.006;None;None;None;None;None;None;None;444;4;46;660;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-29;100;None;None;None;None;None;None;None;Evans-AlTi-1994-5/660ch2
0.081;0.48;1.42;0.004;0.006;None;None;None;None;None;None;None;444;4;46;660;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;38;39;23;0;0;Evans-AlTi-1994-5/660mic
0.069;0.3;1.36;0.007;0.009;None;None;None;None;None;None;None;432;37;68;5;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;468;529;32.6;80.7;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-40/5ht
0.069;0.3;1.36;0.007;0.009;None;None;None;None;None;None;None;432;37;68;5;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-99;28;None;None;None;None;None;None;None;Evans-AlTi-1994-40/5ch1
0.069;0.3;1.36;0.007;0.009;None;None;None;None;None;None;None;432;37;68;5;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-72;100;None;None;None;None;None;None;None;Evans-AlTi-1994-40/5ch2
0.069;0.3;1.36;0.007;0.009;None;None;None;None;None;None;None;432;37;68;5;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;22;5;73;0;0;Evans-AlTi-1994-40/5mic
0.08;0.33;1.41;0.006;0.009;None;None;None;None;None;None;None;432;43;55;78;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;478;540;31.2;80.7;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-40/78ht
0.08;0.33;1.41;0.006;0.009;None;None;None;None;None;None;None;432;43;55;78;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-77;28;None;None;None;None;None;None;None;Evans-AlTi-1994-40/78ch1
0.08;0.33;1.41;0.006;0.009;None;None;None;None;None;None;None;432;43;55;78;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-55;100;None;None;None;None;None;None;None;Evans-AlTi-1994-40/78ch2
0.08;0.33;1.41;0.006;0.009;None;None;None;None;None;None;None;432;43;55;78;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;24;9;67;0;0;Evans-AlTi-1994-40/78mic
0.076;0.37;1.36;0.005;0.009;None;None;None;None;None;None;None;422;36;53;190;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;485;549;31.4;79.8;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-40/190ht
0.076;0.37;1.36;0.005;0.009;None;None;None;None;None;None;None;422;36;53;190;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-86;28;None;None;None;None;None;None;None;Evans-AlTi-1994-40/190ch1
0.076;0.37;1.36;0.005;0.009;None;None;None;None;None;None;None;422;36;53;190;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;-58;100;None;None;None;None;None;None;None;Evans-AlTi-1994-40/190ch2
0.076;0.37;1.36;0.005;0.009;None;None;None;None;None;None;None;422;36;53;190;None;None;None;None;None;170;21;DC;+;1;200;MMA;0;0;None;None;None;None;None;None;None;None;20;3;77;0;0;Evans-AlTi-1994-40/190mic
0.078;0.44;1.31;0.005;0.008;None;None;None;None;None;None;None;431;36;50;340;None;None;None;None;None;170;21;DC;+;1;200;MMA;250;14;491;564;28.2;78.9;None;None;None;None;None;None;None;None;None;Evans-AlTi-1994-40/340ht
